AL,AL
"Alabama",Alabama
"Birmingham, AL",Birmingham%2C%20AL
AK,AK
Alaska,Alaska
"Anchorage, AK",Anchorage%2C%20AK
AZ,AZ
Arizona,Arizona
"Phoenix, AZ",Phoenix%2C%20AZ
"Tucson, AZ",Tucson%2C%20AZ
Arkansas,Arkansas
"Little Rock, AR",Little%20Rock%2C%20AR
CA,CA
California,California
"Bakersfield, CA",Bakersfield%2C%20CA
"Fresno, CA",Fresno%2C%20CA
"Los Angeles, CA","Los%20Angeles, CA"
"Riverside-San Bernardino, CA",Riverside-San%20Bernardino%2C%20CA
"Sacramento, CA",Sacramento%2C%20CA
"San Diego, CA",San%20Diego%2C%20CA
"San Francisco, CA",San%20Francisco%2C%20CA
"San Jose, CA",San%20Jose%2C%20CA
"Stockton, CA",Stockton%2C%20CA
"Colorado Springs, CO",Colorado%20Springs%2C%20CO
CO,CO
Colorado,Colorado
"Denver, CO",Denver%2C%20CO
CT,CT
Connecticut,Connecticut
"Hartford, CT",Hartford%2C%20CT
"New Haven, CT",New%20Haven%2C%20CT
DE,DE
Delaware,Delaware
"Wilmington, DE",Wilmington%2C%20DE
FL,FL
Florida,Florida
"Cape Coral, FL",Cape Coral%2C%20FL
"Jacksonville, FL",Jacksonville%2C%20FL
"Fort Lauderdale, FL",Miami-Fort%20Lauderdale%2C%20FL
"Miami, FL",Miami-Fort%20Lauderdale%2C%20FL
"Orlando, FL",Orlando%2C%20FL
"Palm Bay, FL",Palm%20Bay-Melbourne%2C%20FL
"Sarasota, FL",Sarasota%2C%20FL
"Tampa, FL",Tampa%2C%20FL
GA,GA
Georgia,Georgia
"Atlanta, GA",Atlanta%2C%20GA
"Augusta, GA",Augusta%2C%20GA
HI,HI
Hawaii,Hawaii
"Honolulu, HI",Honolulu%2C%20HI
ID,ID
Idaho,Idaho
"Boise, ID",Boise%2C%20ID
IL,IL
Illinois,Illinois
"Chicago, IL",Chicago%2C%20IL
"Indianapolis, IN",Indianapolis%2C%20IN
IA,IA
Iowa,Iowa
"Des Moines, IA",Des%20Moines%2C%20IA
KS,KS
Kansas,Kansas
"Wichita, KS",Wichita%2C%20KS
KY,KY
Kentucky,Kentucky
"Louisville, KY",Louisville%2C%20KY
LA,LA
Louisiana,Louisiana
"Baton Rouge, LA",Baton%20Rouge%2C%20LA
"New Orleans, LA",New%20Orleans%2C%20LA
"Shreveport, LA",Shreveport%2C%20LA
ME,ME
Maine,Maine
"Portland, ME",Portland%2C%20ME
MD,MD
Maryland,Maryland
"Baltimore, MD",Baltimore%2C%20MD
MA,MA
Massachusetts,Massachusetts
"Boston, MA",Boston%2C%20MA
"Springfield, MA",Springfield%2C%20MA
"Worcester, MA",Worcester%2C%20MA
MI,MI
Michigan,Michigan
"Detroit, MI",Detroit%2C%20MI
"Grand Rapids, MI",Grand%20Rapids%2C%20MI
MN,MN
Minnesota,Minnesota
"Minneapolis, MN",Minneapolis-St.%20Paul%2C%20MN
"St. Paul, MN",Minneapolis-St.%20Paul%2C%20MN
"Rochester, MN",Rochester%2C%20MN
MS,MS
Mississippi,Mississippi
"Jackson, MS",Jackson%2C%20MS
MO,MO
Missouri,Missouri
"Kansas City, MO",Kansas%20City%2C%20MO
"St. Louis, MO",St.%20Louis%2C%20MO
MT,MT
Montana,Montana
"Billings, MT",Billings%2C%20MT
NE,NE
Nebraska,Nebraska
"Omaha, NE",Omaha%2C%20NE
NV,NV
Nevada,Nevada
"Las Vegas, NV",Las%20Vegas%2C%20NV
NH,NH
New Hampshire,New%20Hampshire
"Nashua, NH",Nashua%2C%20NH
"Manchester, NH",Manchester%2C%20NH
"Concord, NH",Concord%2C%20NH
NJ,NJ
New Jersey,New%20Jersey
"Newark, NJ",Newark%2C%20NJ
"Trenton, NJ",Trenton%2C%20NJ
"Camden, NJ",Camden%2C%20NJ
NM,NM
New Mexico,New%20Mexico
"Albuquerque, NM",Albuquerque%2C%20NM
"Santa Fe, NM",Santa%20Fe%2C%20NM
NY,NY
New York,New%20York
"Albany, NY",Albany%2C%20NY
"Buffalo, NY",Buffalo%2C%20NY
"New York, NY",New%20York%2C%20NY
"Rochester, NY",Rochester%2C%20NY
"Syracuse, NY",Syracuse%2C%20NY
NC,NC
North Carolina,North%20Carolina
"Charlotte, NC",Charlotte%2C%20NC
"Greensboro, NC",Greensboro%2FWinston-Salem%2C%20NC
"Winston-Salem, NC",Greensboro%2FWinston-Salem%2C%20NC
"Raleigh, NC",Raleigh-Durham%2C%20NC
"Durham, NC",Raleigh-Durham%2C%20NC
ND,ND
North Dakota,North%20Dakota
"Fargo, ND",Fargo%2C%20ND
"Bismarck, ND",Bismarck%2C%20ND
OH,OH
Ohio,Ohio
"Akron, OH",Akron%2C%20OH
"Cincinnati, OH",Cincinnati%2C%20OH
"Cleveland, OH",Cleveland%2C%20OH
"Columbus, OH",Columbus%2C%20OH
"Dayton, OH",Dayton%2C%20OH
"Toledo, OH",Toledo%2C%20OH
"Youngstown, OH",Youngstown%2C%20OH
OK,OK
Oklahoma,Oklahoma
"Oklahoma City, OK",Oklahoma%20City%2C%20OK
"Tulsa, OK",Tulsa%2C%20OK
OR,OR
Oregon,Oregon
"Portland, OR",Portland%2C%20OR
PA,PA
Pennsylvania,Pennsylvania
"Philadelphia, PA",Philadelphia%2C%20PA
"Pittsburgh, PA",Pittsburgh%2C%20PA
"Scranton, PA",Scranton%2C%20PA
"Lancaster, PA",Lancaster%2C%20PA
"Harrisburg, PA",Harrisburg%2C%20PA
"Allentown, PA",Allentown%2C%20PA
RI,RI
Rhode Island,Rhode%20Island
"Providence, RI",Providence%2C%20RI
"Central Falls, RI",Central%20Falls%2C%20RI
"Pawtucket, RI",Pawtucket%2C%20RI
SC,SC
South Carolina,South%20Carolina
"Charleston, SC",Charleston%2C%20SC
"Columbia, SC",Columbia%2C%20SC
"Greenville, SC",Greenville%2C%20SC
SD,SD
South Dakota,South%20Dakota
"Sioux Falls, SD",Sioux%20Falls%2C%20SD
TN,TN
Tennessee,Tennessee
"Chattanooga, TN",Chattanooga%2C%20TN
"Knoxville, TN",Knoxville%2C%20TN
"Memphis, TN",Memphis%2C%20TN
"Nashville, TN",Nashville%2C%20TN
TX,TX
Texas,Texas
"Austin, TX",Austin%2C%20TX
"Dallas, TX",Dallas-Fort%20Worth%2C%20TX
"Fort Worth, TX",Dallas-Fort%20Worth%2C%20TX
"El Paso, TX",El Paso%2C%20TX
"Houston, TX",Houston%2C%20TX
"McAllen, TX",McAllen%2C%20TX
"San Antonio, TX",San%20Antonio%2C%20TX
UT,UT
Utah,Utah
"Provo, UT",Provo%2C%20UT
"Salt Lake City, UT",Salt%20Lake%20City%2C%20UT
VT,VT
Vermont,Vermont
"Burlington, VT",Burlington%2C%20VT
VA,VA
Virginia,Virginia
"Richmond, VA",Richmond%2C%20VA
"Virginia Beach, VA",Virginia%20Beach-Norfolk-Newport%20News%2C%20VA
"Norfolk, VA",Virginia%20Beach-Norfolk-Newport%20News%2C%20VA
"Newport News, VA",Virginia%20Beach-Norfolk-Newport%20News%2C%20VA
"Arlington, VA",Arlington%2C%20VA
WA,WA
Washington,Washington
"Seattle, WA",Seattle%2C%20WA
"Tacoma, WA",Tacoma%2C%20WA
WV,WV
West Virginia,West%20Virginia
"Morgantown, WV",Morgantown%2C%20WV
WI,WI
Wisconsin,Wisconsin
"Milwaukee, WI",Milwaukee%2C%20WI
"Madison, WI",Madison%2C%20WI
WY,WY
Wyoming,Wyoming
"Cheyenne, WY",Cheyenne%2C%20WY