Family%20Medicine,Family Medicine,Medicina Familiar,Medicina familiar,Médecine générale,家庭科,家庭醫學科,پزشکی خانواده,Bác sĩ gia đình,కుటుంబ వైద్యం | Kuṭumba vaidyaṁ,Medicina di famiglia,???????? ????????,?? ??????/?? ???????,Medicin? de familie,???????????? ???????
Internal%20Medicine,Internal Medicine,Medicina Interna,Medicina interna,Médecine interne,内科,一般內科,داخلی,Khoa nội,ప్రాథమిక చికిత్ | Prāthamika cikit,Medicina interna,??????????? ???????? (???????),?? ?????/ ?? ?????,Medicin? interna,????????? ?????????
Pediatrics,Pediatrics,Pediatria,Pediatría,Pédiatrie,儿科,小兒科,اطفال,Khoa nhi,పిల్లల వైద్యుడు | Pillala vaidyuḍu,Pediatria,?????????,?? ?????,Pediatrie,???????????
Obstetrics%20%26%20Gynecology,OB/GYN,Obstetrícia/Ginecologia,Obstetricia/ Ginecología,Gynécologie obstétrique,妇产科,婦產科,زنان و زایمان,Khoa phụ sản,గైనకాలజీ | Gainakālaji,Ginecologia,??????????/???????????,?? ????? ? ?????,Obstetric?-ginecologie,?????????? ????????????
Psychiatry,Psychiatry,Psiquiatria,Psiquiatría,Psychiatrie,精神病科,精神科,روانپزشکی,Khoa tâm thần,మానసిక వైద్యుడు | Maanasika Vaidyudu,Psichiatria,??????????,?? ????,Psihiatrie,??????????
General%20Surgery,General Surgery,Cirurgia Geral,Cirugía General,Chirurgie digestive,普通外科,一般外科,جراحی عمومی,Khoa ngoại tổng hợp,సర్జరీ | Sarjarī,Chirurgia generale,????? ????????,????? ????,Chirurgie generala,?????? ???????????
Radiology,Radiology,Radiologia,Radiología,Radiologie médicale,放射科,放射科,رادیولوژی,Khoa chẩn đoán hình ảnh,రేడియాలజీ | Rēḍiyālajī,Radiologia,??????????,?? ??????,Radiologie,?????????? / ???????????
Cardiology,Cardiology,Cardiologia,Cardiología,Cardiologie,心脏科,心臟科,قلب و عروق,Khoa tim mạch,కార్డియాలజీ | Kārḍiyālaji,Cardiologia,???????????,????? ?????,Cardiologie,???????????
Orthopedics,Orthopedic Surgery,Cirurgia Ortopédica,Cirugía Pediátrica,Orthopédie,骨科,骨科,جراحی ارتوپدی,Khoa ngoại chỉnh hình,ఆర్థోపెడిక్ సర్జరీ | Ārthōpeḍik Sarjarī,Chirurgia ortopedica,?????????????? ????????,????? ?????,Chirurgia ortopedic?,?????????? ???????????
Ophthalmology,Ophthalmology,Oftalmologia,Oftalmología,Ophtalmologie,眼科,眼科,چشم پزشکی,Khoa mắt,నేత్ర వైద్యం | Nētra vaidyaṁ,Oftalmologia,?????????????,????? ??????/????? ??????,Oftalmologie,????????????
Gastroenterology,Gastroenterology,Gastroenterologia,Gastroenterología,Gastro-entérologie,胃肠科,胃腸科,گوارش,Khoa tiêu hoá,గాస్ట్రోఎంటరోలాజి | Gyāsṭrō'eṇṭarālajī,Gastroenterologia,?????????????????,????? ?????? ??????,Gastroenterologie,????????????????
Hematology,Hematology,Hematologia,Hematología,Hématologie,血液科,血液科,هماتولوژی (خون),Khoa huyết học,హెమటాలజి | Hematalaji,Ematologia,???????????,????? ????,Hematologie,???????????
Neurology,Neurology,Neurologia,Neurología,Neurologie,神经病科,神經內科,بیماری های مغز و اعصاب,Khoa thần kinh,నరాలకు సంబంధించిన వైద్యం | Naraalaki Sambandinchina Vaidyam,Neurologia,??????????,????? ?????? ??????,Neurologie,??????????
Dermatology,Dermatology,Dermatologia,Dermatología,Dermatologie,皮肤科,皮膚科,پوست,Khoa da liễu,చర్మానికి సంబంధించిన వైద్యం | Charmaaniki Sambadinchina Vaidyam,Dermatologia,????????????,????? ?????,Dermatologie,????????????
Nephrology,Nephrology,Nefrologia,Nefrología,Néphrologie,肾内科,腎臟內科,نفرولوژی (کلیه),Khoa thận,నెఫ్రోలోజి | Nephrōlōji,Nefrologia,??????????,????? ??? ????,Nefrologie,??????????
Urology,Urology,Urologia,Urología,Urologie,泌尿外科,泌尿外科,اورولوژی (جراحی کلیه و مجاری ادرار),Khoa tiết niệu,యూరాలజీ | Yūrālajī,Urologia,????????,????? ??????? ???????,Urologie,?????????
Pathology,Pathology,Patologia,Patología,Pathologie,病理科,病理科,پاتولوژی,Khoa giải phẫu bệnh,పాథాలజీ | Pāthālajī,Anatomia patologica,?????????????? ????????,?? ??????? ????????,Patologie,?????????
Otolaryngology%20(ENT),Otolaryngology ENT,Otorrinolaringologia,Otorrinolaringología,Otorhinolaryngologie ORL,耳鼻喉科,耳鼻喉科,گوش و حلق و بینی,Khoa tai mũi họng,"చెవి, గొంతు, నాలుక వైద్యం | Chevi, Gonthu, Naaluka vaidyudu",Otorinolaringoiatria ORL,"??????????????????? (???, ""???-?????-???"")",????? ??? ??? ?????,Otorinolaringologie ORL,??o???o??????o?o???
Pulmonology,Pulmonology,Pneumologia,Pulmonología,Pneumologie,肺科,胸肺科,ریه,Khoa hô hấp,ఊపిరితిత్తుల సంబందించిన వైద్యం | Oopiritittula Sambandinchina Vaidyam,Pneumologia,?????????????,?????? ????? ?????,Pneumologie,?????????????
Infectious%20Disease,Infectious Diseases,Doenças Infecciosas,Infectología,Infectiologie,传染病科,流行病學科,بیماری های عفونی,Khoa truyền nhiễm,అంటు వ్యాధులు | Aṇṭu vyādhulu,Malattie infettive,???????????? ???????,????? ???????,Boli infec?ioase,??????????? ?????????
Endocrinology%2C%20Diabetes%20%26%20Metabolism,Diabetes and Endocrinology,Diabetes e Endocrinologia,Diabetes y Endocrinología,Diabète sucré et Endocrinologie,糖尿病和内分泌科,糖尿病和內分泌疾病科,دیابت و غدد درون ریز,Khoa nội tiết và đái tháo đường,ఎండోక్రినాలజీ | Endocrinology,Diabete e endocrinologia,?????? ? ??????????????,????? ???? ????,Diabet ?i Endocrinologie,??????? ??? ??????????????
Neurosurgery,Neurosurgery,Neurocirurgia,Neurocirugía,Neurochirurgie,神经外科,神經外科,جراحی مغز و اعصاب,Khoa ngoại thần kinh,నరాల సర్జరీ | Naraala Sarjarī,Neurochirurgia,?????????????,????? ?????,Neurochirurgie,????????????????
Rheumatology,Rheumatology,Reumatologia,Reumatología,Rhumatologie,风湿病科,風濕免疫科,روماتولوژی و بیماری های خود ایمنی,Khoa cơ xương khớp,రుమటాలజీ | Rumaṭālajī,Reumatologia e malattie autoimmuni,???????????? ? ???????????? ???????????,????? ??????? ???????? ???????,Reumatologie ?i Boli Autoimune,???????????? ??? ????????? ????????
Pain%20Medicine,Pain Medicine,Remédio para dor,Medicina para el dolor,Traitement de la douleur,疼痛科,疼痛科,پزشکی درد,Khoa chống đau và chăm sóc giảm nhẹ,నొప్పి వైద్యం | Noppi Vaidyam,Medicina del Dolore,???????? ????,?? ?????? ?????,Analgezice,??????? ??? ??? ????
Geriatric%20Medicine,Geriatrics,Geriatria,Geriatría,Gériatrie,老年病科,老年醫學科,سالمندان طب,Khoa lão khoa,వ్రిద్ధాప్య కి సంబంధించిన వైద్యం | Vr̥d'dhāpya ki sambandhinchina vaidyam,Geriatria,?????????,????? ????????,Geriatrie,??????????
Plastic%20Surgery,Plastic Surgery,Cirurgia Plástica,Cirugía Plástica,Chirurgie plastique,整形外科,整形外科,جراحی پلاستیک (جراحی زیبایی),Khoa phẫu thuật thẩm mỹ,ప్లాస్టిక్ సర్జరీ | Plāsṭik sarjarī,Chirurgia plastica,???????????? ????????,????? ?????,Chirurgie Plastic?,???????? ???????????
Oncology,Oncology,Oncologia,Oncología,Oncologie,肿瘤科,腫瘤科,انکولوژی (سرطان),Khoa ung bướu,ఒంకాలోజి | Oṅkālōji,Oncologia,?????????,?????? ?????/ ????? ???????,Oncologie,?????????
Allergy%20%26%20Immunology,Allergy & Immunology,Alergia e Imunologia,Alergias e Inmunología,Allergie et Immunologie,过敏与免疫科,過敏病科,آلرژی و ایمونولوژی (حساسیت),Khoa dị ứng và miễn dịch,అలెర్జీ మరియు ఇమ్మ్యూనోలోజి | Allergy mariyu immunology,Allergologia e immunologia,???????????? ? ???????????,????? ?????? ????????,Alergie ?i Imunologie,???????? ??? ??????????
Sports%20Medicine,Sports Medicine,Medicina Esportiva,Medicina deportiva,Médecine du sport,运动药物科,運動醫學科,پزشکی ورزشی,Khoa y học thể thao,స్పోర్ట్స్ మెడిసిన్ | Spōrṭs meḍisin,Medicina dello sport,?????????? ????????,?? ???????,Medicin? sportiv?,???????? ???????
